symbol,reference_qlike,candidate_qlike,relative_gain
AAPL,1.498590551868012,1.5400981052291305,-0.02769772791465871
ADBE,0.5440384336746421,0.5282235695310424,0.02906938768421208
AMD,0.4756567456583865,0.4744053573887478,0.002630864128514765
AMZN,1.8872915305475235,1.966869461256993,-0.042165150121975636
ASML,0.40638809515303737,0.4171686087313028,-0.02652763136234517
AVGO,0.5212476544929553,0.5086897447680933,0.02409202154986725
COST,0.5924367256250239,0.5750563305590256,0.02933713308819925
CSCO,0.6254090091078636,0.6272420759328532,-0.002930988838175626
GLD,0.40112586614355666,0.3885045934888217,0.03146461926296718
GOOGL,0.6429585108585684,0.6551942605473384,-0.01903038762552683
INTC,0.6135299768007099,0.6212674631620442,-0.012611423490147808
INTU,0.6149229503695528,0.6143875151617387,0.0008707354433466657
MSFT,0.4795549271771586,0.4724358623216441,0.014845150059076663
MU,0.4182580838679917,0.4095162873363962,0.020900484339125162
NFLX,0.43724925632887607,0.4324198737332915,0.011044918946533703
NVDA,0.4921280405682761,0.4882561851760801,0.007867577282784012
PEP,0.6205739346223462,0.5938056457701542,0.04313472957655249
QCOM,0.6507648548405421,0.6521278655543287,-0.002094474991462943
SLV,0.43939211873999034,0.4523704913109426,-0.029537108239832084
TSLA,1.0009251445488028,1.065964767783696,-0.0649795077974706
TXN,0.43750176297052346,0.4283376154055874,0.02094653859841357
