symbol,reference_qlike,candidate_qlike,relative_gain
AAPL,1.498590551868012,1.6719169717282916,-0.11565962406757867
ADBE,0.5440384336746421,0.5626745108737932,-0.034255074725651126
AMD,0.4756567456583865,0.4844963126711461,-0.018583920218611043
AMZN,1.8872915305475235,2.0625352010242137,-0.0928545842760446
ASML,0.40638809515303737,0.4126936809123158,-0.015516167512003192
AVGO,0.5212476544929553,0.5386491877313444,-0.03338438665074951
COST,0.5924367256250239,0.5975977517693749,-0.0087115229713453
CSCO,0.6254090091078636,0.6346693699314394,-0.014806887474783271
GLD,0.40112586614355666,0.40344942330198297,-0.005792588697321102
GOOGL,0.6429585108585684,0.6456629887096057,-0.0042063022813492845
INTC,0.6135299768007099,0.6371487542693713,-0.03849653376648857
INTU,0.6149229503695528,0.6329175805998006,-0.029263227562792257
MSFT,0.4795549271771586,0.4911244947718077,-0.02412563595739065
MU,0.4182580838679917,0.42665850285132,-0.020084295575694414
NFLX,0.43724925632887607,0.438234525692555,-0.0022533357105080196
NVDA,0.4921280405682761,0.49906788191265194,-0.014101698688744103
PEP,0.6205739346223462,0.6340492930534218,-0.021714348088557923
QCOM,0.6507648548405421,0.6621993805685261,-0.017570902366548048
SLV,0.43939211873999034,0.45197400248100206,-0.0286347506120314
TSLA,1.0009251445488028,1.0563971971687733,-0.055420780387105045
TXN,0.43750176297052346,0.4518837197588278,-0.032872911621326016
